host,service,pid,target,message,hour,minute,second,day_of_week,day,month,time_delta
-5853922760334480549,sudo,1246,0,backup : TTY=pts/2 ; COMMAND=cd /var/www,22,0,8,6,25,2,37862.0
171056740,systemd,3438,0,Started Log rotation,22,4,33,6,25,2,38127.0
3439435287861071516,cron,3525,0,Started Log rotation,22,22,39,6,25,2,39213.0
172823800,service,2129,0,Started postgres service,22,29,13,6,25,2,39607.0
-5853922760334480549,sudo,3862,0,deploy : TTY=pts/1 ; COMMAND=/usr/bin/sudo -l,22,33,17,6,25,2,39851.0
172823800,systemd,7533,0,Started Daily backup,22,39,38,6,25,2,40232.0
171056740,service,2998,0,Started postgres service,22,51,19,6,25,2,40933.0
172823800,cron,2881,0,Started System maintenance,22,54,44,6,25,2,41138.0
171056740,systemd,3669,0,Started System maintenance,22,55,28,6,25,2,41182.0
172823800,proftpd,9876,0,"Connection from 85.245.107.41, user web_upload, command CWD /uploads",22,56,18,6,25,2,41232.0
-5853922760334480549,sshd,8164,0,Accepted publickey for ci-cd from 85.245.107.41,23,14,35,6,25,2,42329.0
171056740,cron,7667,0,Started Log rotation,23,31,17,6,25,2,43331.0
171056740,systemd,1094,0,Started Log rotation,23,32,51,6,25,2,43425.0
172823800,sshd,5295,0,Accepted publickey for ci-cd from 10.0.0.50,23,41,14,6,25,2,43928.0
172823800,cron,2821,0,Started Daily backup,0,27,33,0,26,2,46707.0
172823800,sudo,8961,0,ubuntu : TTY=pts/2 ; COMMAND=cd /var/www,0,48,8,0,26,2,47942.0
171056740,sudo,4689,0,deploy : TTY=pts/1 ; COMMAND=cat /var/log/syslog,1,6,25,0,26,2,49039.0
-5853922760334480549,proftpd,7920,1,Anonymous login attempted from 220.135.151.1,1,6,49,0,26,2,49063.0
-5853922760334480549,vsftpd,5846,1,Anonymous user from 220.135.151.1 executed: LIST,1,6,58,0,26,2,49072.0
171056740,service,4021,0,Started docker service,1,9,28,0,26,2,49222.0
3439435287861071516,pure-ftpd,8208,0,"Connection from 10.0.0.50, user backup, command STOR backup.zip",1,14,42,0,26,2,49536.0
-5853922760334480549,cron,4370,0,Started Daily backup,1,16,4,0,26,2,49618.0
172823800,systemd,6109,0,Started System maintenance,1,21,10,0,26,2,49924.0
171056740,systemd,9726,0,Started System maintenance,1,22,58,0,26,2,50032.0
-5853922760334480549,proftpd,1566,0,"Connection from 172.16.0.25, user backup, command STOR backup.zip",1,34,42,0,26,2,50736.0
-5853922760334480549,systemd,2751,0,Started Log rotation,1,37,6,0,26,2,50880.0
3439435287861071516,sudo,2122,0,developer : TTY=pts/1 ; COMMAND=/usr/bin/sudo -l,1,40,45,0,26,2,51099.0
-5853922760334480549,service,3970,0,Started postgres service,1,50,17,0,26,2,51671.0
171056740,systemd,3125,0,Started Daily backup,2,32,12,0,26,2,54186.0
171056740,sshd,8049,0,Accepted publickey for ci-cd from 10.0.0.50,2,38,56,0,26,2,54590.0
172823800,systemd,7253,0,Started Log rotation,2,39,52,0,26,2,54646.0
172823800,sudo,7552,0,developer : TTY=pts/0 ; COMMAND=cd /var/www,2,42,30,0,26,2,54804.0
3439435287861071516,cron,3541,0,Started Log rotation,3,3,53,0,26,2,56087.0
171056740,service,4796,0,Started mysql service,3,12,10,0,26,2,56584.0
3439435287861071516,service,5503,0,Started mysql service,3,25,22,0,26,2,57376.0
3439435287861071516,cron,3898,0,Started Daily backup,3,29,57,0,26,2,57651.0
-5853922760334480549,service,3909,0,Started cron service,3,40,8,0,26,2,58262.0
3439435287861071516,service,4942,0,Started docker service,4,11,47,0,26,2,60161.0
172823800,sudo,7549,0,ci-cd : TTY=pts/2 ; COMMAND=ls -la,4,24,5,0,26,2,60899.0
172823800,systemd,8860,0,Started Daily backup,4,36,8,0,26,2,61622.0
-5853922760334480549,cron,9788,0,Started Daily backup,4,37,37,0,26,2,61711.0
172823800,vsftpd,2511,0,"Connection from 172.16.0.25, user web_upload, command LIST",4,46,5,0,26,2,62219.0
172823800,systemd,5550,0,Started Daily backup,5,12,3,0,26,2,63777.0
3439435287861071516,sudo,3144,0,ci-cd : TTY=pts/0 ; COMMAND=apt update,5,22,33,0,26,2,64407.0
172823800,cron,4960,0,Started Daily backup,5,23,56,0,26,2,64490.0
-5853922760334480549,systemd,3329,0,Started System maintenance,5,37,55,0,26,2,65329.0
172823800,cron,1755,0,Started Log rotation,5,48,42,0,26,2,65976.0
172823800,sudo,8416,0,developer : TTY=pts/2 ; COMMAND=/usr/bin/sudo -l,5,59,35,0,26,2,66629.0
171056740,service,1653,0,Started redis service,6,8,32,0,26,2,67166.0
3439435287861071516,sudo,9570,0,deploy : TTY=pts/2 ; COMMAND=ls -la,6,13,11,0,26,2,67445.0
-5853922760334480549,proftpd,6442,1,Failed password for backup from 61.177.172.1,6,15,40,0,26,2,67594.0
-5853922760334480549,pure-ftpd,7483,1,Failed password for ftp_user from 61.177.172.1,6,15,46,0,26,2,67600.0
-5853922760334480549,vsftpd,9005,1,Failed password for ftp_user from 61.177.172.1,6,15,58,0,26,2,67612.0
-5853922760334480549,vsftpd,9892,1,Failed password for ftp_user from 61.177.172.1,6,16,22,0,26,2,67636.0
-5853922760334480549,vsftpd,6262,1,Failed password for ftp_user from 61.177.172.1,6,16,32,0,26,2,67646.0
-5853922760334480549,pure-ftpd,9155,1,Failed password for backup from 61.177.172.1,6,16,52,0,26,2,67666.0
-5853922760334480549,vsftpd,6579,1,Failed password for web_upload from 61.177.172.1,6,16,55,0,26,2,67669.0
-5853922760334480549,vsftpd,7135,1,Failed password for backup from 61.177.172.1,6,17,3,0,26,2,67677.0
-5853922760334480549,vsftpd,5238,1,Failed password for ftp_user from 61.177.172.1,6,17,3,0,26,2,67677.0
-5853922760334480549,vsftpd,8710,1,Failed password for ftp_user from 61.177.172.1,6,17,14,0,26,2,67688.0
171056740,sudo,5169,0,admin : TTY=pts/1 ; COMMAND=apt update,6,39,37,0,26,2,69031.0
3439435287861071516,sudo,4923,0,developer : TTY=pts/2 ; COMMAND=docker ps,7,28,45,0,26,2,71979.0
-5853922760334480549,sudo,7920,0,ci-cd : TTY=pts/2 ; COMMAND=git pull,7,49,20,0,26,2,73214.0
171056740,sudo,5096,0,ci-cd : TTY=pts/1 ; COMMAND=docker ps,7,57,22,0,26,2,73696.0
171056740,sshd,7880,0,Accepted publickey for backup from 172.16.0.25,8,6,14,0,26,2,74228.0
-5853922760334480549,cron,5955,0,Started Log rotation,8,8,15,0,26,2,74349.0
172823800,systemd,7498,0,Started Daily backup,8,23,36,0,26,2,75270.0
3439435287861071516,sudo,8975,0,ci-cd : TTY=pts/2 ; COMMAND=ls -la,8,25,32,0,26,2,75386.0
3439435287861071516,sudo,1580,0,ci-cd : TTY=pts/2 ; COMMAND=ls -la,8,37,35,0,26,2,76109.0
172823800,pure-ftpd,6998,1,Anonymous login attempted from 185.143.223.15,8,40,48,0,26,2,76302.0
172823800,vsftpd,7396,1,Anonymous user from 185.143.223.15 executed: STOR malware.php,8,40,54,0,26,2,76308.0
171056740,systemd,6465,0,Started Daily backup,8,41,18,0,26,2,76332.0
-5853922760334480549,service,6678,0,Started nginx service,8,50,6,0,26,2,76860.0
171056740,cron,4676,0,Started Daily backup,9,6,8,0,26,2,77822.0
3439435287861071516,sshd,2324,0,Accepted publickey for admin from 192.168.1.100,9,17,35,0,26,2,78509.0
172823800,proftpd,3364,0,"Connection from 10.0.0.50, user ftp_user, command LIST",9,22,33,0,26,2,78807.0
171056740,cron,6498,0,Started Log rotation,9,23,0,0,26,2,78834.0
-5853922760334480549,cron,9771,0,Started Daily backup,9,26,16,0,26,2,79030.0
-5853922760334480549,sudo,8224,0,deploy : TTY=pts/0 ; COMMAND=cat /var/log/syslog,9,27,11,0,26,2,79085.0
171056740,sudo,9497,0,ubuntu : TTY=pts/0 ; COMMAND=apt update,9,28,41,0,26,2,79175.0
171056740,cron,2839,0,Started Daily backup,9,35,59,0,26,2,79613.0
171056740,service,8506,0,Started docker service,9,36,56,0,26,2,79670.0
3439435287861071516,service,2109,0,Started docker service,9,47,47,0,26,2,80321.0
3439435287861071516,vsftpd,7355,0,"Connection from 85.245.107.41, user web_upload, command LIST",9,50,10,0,26,2,80464.0
171056740,service,4761,0,Started postgres service,10,10,48,0,26,2,81702.0
-5853922760334480549,service,4330,0,Started redis service,10,11,10,0,26,2,81724.0
172823800,sudo,3817,0,developer : TTY=pts/1 ; COMMAND=/usr/bin/sudo -l,10,32,28,0,26,2,83002.0
3439435287861071516,sudo,2403,0,ci-cd : TTY=pts/0 ; COMMAND=cat /var/log/syslog,10,40,38,0,26,2,83492.0
171056740,sudo,3683,0,backup : TTY=pts/2 ; COMMAND=/usr/bin/sudo -l,10,45,50,0,26,2,83804.0
-5853922760334480549,cron,3264,0,Started System maintenance,11,7,54,0,26,2,85128.0
3439435287861071516,sudo,4737,0,admin : TTY=pts/2 ; COMMAND=systemctl restart nginx,11,11,28,0,26,2,85342.0
-5853922760334480549,sudo,9532,0,ubuntu : TTY=pts/1 ; COMMAND=cat /var/log/syslog,11,15,48,0,26,2,85602.0
3439435287861071516,cron,2960,0,Started Daily backup,11,18,42,0,26,2,85776.0
171056740,service,6935,0,Started cron service,11,32,28,0,26,2,86602.0
171056740,service,5712,0,Started postgres service,11,35,23,0,26,2,86777.0
3439435287861071516,vsftpd,4657,0,"Connection from 10.0.0.50, user web_upload, command CWD /uploads",11,35,51,0,26,2,86805.0
-5853922760334480549,service,8032,0,Started cron service,11,39,23,0,26,2,87017.0
3439435287861071516,sudo,1834,0,deploy : TTY=pts/0 ; COMMAND=systemctl restart nginx,11,45,41,0,26,2,87395.0
-5853922760334480549,service,9071,0,Started cron service,12,9,48,0,26,2,88842.0
171056740,sudo,6047,0,deploy : TTY=pts/1 ; COMMAND=git pull,12,13,41,0,26,2,89075.0
-5853922760334480549,systemd,4649,0,Started Daily backup,12,21,35,0,26,2,89549.0
171056740,cron,6750,0,Started System maintenance,12,40,43,0,26,2,90697.0
3439435287861071516,systemd,5294,0,Started Daily backup,12,41,22,0,26,2,90736.0
-5853922760334480549,service,2697,0,Started redis service,12,43,51,0,26,2,90885.0
172823800,sudo,9989,0,admin : TTY=pts/0 ; COMMAND=apt update,12,52,36,0,26,2,91410.0
171056740,sshd,5140,0,Accepted publickey for ubuntu from 192.168.1.100,13,2,33,0,26,2,92007.0
3439435287861071516,service,2049,0,Started mysql service,13,16,54,0,26,2,92868.0
172823800,vsftpd,2525,0,"Connection from 192.168.1.100, user ftp_user, command LIST",13,17,39,0,26,2,92913.0
3439435287861071516,service,5461,0,Started cron service,13,27,11,0,26,2,93485.0
3439435287861071516,sudo,1218,0,deploy : TTY=pts/0 ; COMMAND=systemctl restart nginx,13,32,16,0,26,2,93790.0
3439435287861071516,sudo,3113,0,deploy : TTY=pts/1 ; COMMAND=docker ps,13,34,26,0,26,2,93920.0
-5853922760334480549,sshd,5398,0,Accepted publickey for ubuntu from 85.245.107.41,13,39,9,0,26,2,94203.0
172823800,pure-ftpd,5793,1,Failed password for ftp_user from 51.15.20.30,14,10,32,0,26,2,96086.0
172823800,proftpd,8393,1,Failed password for ftp_user from 51.15.20.30,14,10,48,0,26,2,96102.0
172823800,vsftpd,9967,1,Failed password for web_upload from 51.15.20.30,14,11,4,0,26,2,96118.0
172823800,vsftpd,9666,1,Failed password for web_upload from 51.15.20.30,14,11,26,0,26,2,96140.0
172823800,pure-ftpd,8723,1,Failed password for ftp_user from 51.15.20.30,14,11,33,0,26,2,96147.0
172823800,proftpd,5328,1,Failed password for ftp_user from 51.15.20.30,14,11,42,0,26,2,96156.0
172823800,vsftpd,8136,1,Failed password for ftp_user from 51.15.20.30,14,11,42,0,26,2,96156.0
172823800,proftpd,7887,1,Failed password for web_upload from 51.15.20.30,14,11,45,0,26,2,96159.0
172823800,pure-ftpd,6014,1,Failed password for ftp_user from 51.15.20.30,14,11,45,0,26,2,96159.0
172823800,proftpd,9604,1,Failed password for web_upload from 51.15.20.30,14,11,54,0,26,2,96168.0
172823800,proftpd,9844,1,Failed password for ftp_user from 51.15.20.30,14,12,1,0,26,2,96175.0
172823800,vsftpd,9454,1,Failed password for backup from 51.15.20.30,14,12,1,0,26,2,96175.0
172823800,pure-ftpd,9597,1,Failed password for ftp_user from 51.15.20.30,14,12,13,0,26,2,96187.0
-5853922760334480549,service,1217,0,Started redis service,14,45,58,0,26,2,98212.0
-5853922760334480549,sudo,4526,0,backup : TTY=pts/1 ; COMMAND=apt update,14,46,33,0,26,2,98247.0
172823800,cron,7746,0,Started System maintenance,14,49,18,0,26,2,98412.0
171056740,sshd,9623,0,Accepted publickey for developer from 10.0.0.50,14,52,19,0,26,2,98593.0
172823800,sudo,1173,0,admin : TTY=pts/0 ; COMMAND=/usr/bin/sudo -l,14,57,20,0,26,2,98894.0
3439435287861071516,proftpd,9728,0,"Connection from 85.245.107.41, user web_upload, command CWD /uploads",15,19,49,0,26,2,100243.0
-5853922760334480549,sudo,8633,0,deploy : TTY=pts/0 ; COMMAND=/usr/bin/sudo -l,15,48,9,0,26,2,101943.0
3439435287861071516,sudo,2971,0,ubuntu : TTY=pts/1 ; COMMAND=docker ps,15,54,32,0,26,2,102326.0
3439435287861071516,cron,7763,0,Started Daily backup,16,9,20,0,26,2,103214.0
172823800,sshd,2547,0,Failed password for developer from 192.168.1.100 port 34567,16,27,1,0,26,2,104275.0
172823800,cron,4171,0,Started Log rotation,16,28,52,0,26,2,104386.0
-5853922760334480549,sudo,6265,0,ci-cd : TTY=pts/0 ; COMMAND=git pull,16,46,54,0,26,2,105468.0
-5853922760334480549,cron,8342,0,Started Daily backup,16,47,10,0,26,2,105484.0
172823800,service,4874,0,Started nginx service,17,5,13,0,26,2,106567.0
172823800,service,8889,0,Started cron service,17,8,19,0,26,2,106753.0
172823800,systemd,3693,0,Started Log rotation,17,14,53,0,26,2,107147.0
3439435287861071516,sshd,5685,0,Accepted publickey for ci-cd from 10.0.0.50,17,24,44,0,26,2,107738.0
171056740,nginx,9732,1,"185.143.223.15 - - [27/Mar/2025:11:28:18] ""POST /api/v1/login HTTP/1.1"" 404",17,30,9,0,26,2,108063.0
171056740,apache2,5292,1,"185.143.223.15 - - [27/Mar/2025:11:28:18] ""GET /.git/config HTTP/1.1"" 404",17,30,16,0,26,2,108070.0
171056740,nginx,5004,1,"185.143.223.15 - - [27/Mar/2025:11:28:18] ""GET /.git/config HTTP/1.1"" 404",17,30,20,0,26,2,108074.0
171056740,nginx,9619,1,"185.143.223.15 - - [27/Mar/2025:11:28:18] ""POST /api/v1/login HTTP/1.1"" 404",17,30,42,0,26,2,108096.0
172823800,sudo,3900,0,admin : TTY=pts/2 ; COMMAND=git pull,17,33,56,0,26,2,108290.0
-5853922760334480549,systemd,7279,0,Started Log rotation,17,34,39,0,26,2,108333.0
3439435287861071516,proftpd,3037,0,"Connection from 85.245.107.41, user ftp_user, command LIST",18,6,46,0,26,2,110260.0
3439435287861071516,cron,1920,0,Started System maintenance,18,26,9,0,26,2,111423.0
3439435287861071516,sudo,7474,0,developer : TTY=pts/1 ; COMMAND=apt update,19,4,32,0,26,2,113726.0
3439435287861071516,cron,3290,0,Started System maintenance,19,7,51,0,26,2,113925.0
172823800,service,2751,0,Started cron service,19,20,8,0,26,2,114662.0
3439435287861071516,cron,8298,0,Started Daily backup,19,36,58,0,26,2,115672.0
3439435287861071516,cron,4150,0,Started Log rotation,19,38,47,0,26,2,115781.0
-5853922760334480549,sudo,1698,0,developer : TTY=pts/2 ; COMMAND=systemctl restart nginx,19,52,21,0,26,2,116595.0
172823800,sshd,1655,0,Accepted publickey for ubuntu from 192.168.1.100,19,56,11,0,26,2,116825.0
171056740,cron,8012,0,Started System maintenance,19,57,17,0,26,2,116891.0
172823800,service,4709,0,Started docker service,19,57,27,0,26,2,116901.0
3439435287861071516,cron,4120,0,Started Daily backup,19,57,47,0,26,2,116921.0
-5853922760334480549,systemd,1269,0,Started Daily backup,20,10,16,0,26,2,117670.0
3439435287861071516,sudo,2329,0,deploy : TTY=pts/1 ; COMMAND=systemctl restart nginx,20,11,32,0,26,2,117746.0
-5853922760334480549,cron,5251,0,Started Log rotation,20,19,33,0,26,2,118227.0
3439435287861071516,sshd,9163,0,Accepted publickey for admin from 192.168.1.100,20,26,15,0,26,2,118629.0
3439435287861071516,cron,2986,0,Started System maintenance,20,32,47,0,26,2,119021.0
171056740,proftpd,6328,0,"Connection from 10.0.0.50, user backup, command LIST",20,41,44,0,26,2,119558.0
3439435287861071516,sudo,9387,0,deploy : TTY=pts/1 ; COMMAND=cd /var/www,20,47,11,0,26,2,119885.0
172823800,cron,6808,0,Started System maintenance,21,7,20,0,26,2,121094.0
172823800,sshd,3513,0,Accepted publickey for developer from 172.16.0.25,21,33,33,0,26,2,122667.0
171056740,systemd,4158,0,Started System maintenance,21,53,51,0,26,2,123885.0
172823800,systemd,9517,0,Started Log rotation,21,59,25,0,26,2,124219.0
171056740,sudo,5492,0,ubuntu : TTY=pts/0 ; COMMAND=cat /var/log/syslog,22,10,38,0,26,2,124892.0
171056740,systemd,9593,0,Started System maintenance,22,14,11,0,26,2,125105.0
3439435287861071516,sudo,9504,0,deploy : TTY=pts/2 ; COMMAND=docker ps,22,15,22,0,26,2,125176.0
172823800,sudo,6328,0,ci-cd : TTY=pts/1 ; COMMAND=systemctl restart nginx,22,27,58,0,26,2,125932.0
-5853922760334480549,systemd,5972,0,Started System maintenance,22,31,59,0,26,2,126173.0
-5853922760334480549,cron,7042,0,Started Log rotation,23,6,5,0,26,2,128219.0
171056740,systemd,7196,0,Started Log rotation,23,8,19,0,26,2,128353.0
172823800,sshd,6473,0,Accepted publickey for admin from 192.168.1.100,23,11,3,0,26,2,128517.0
172823800,sshd,4154,0,Accepted publickey for ubuntu from 85.245.107.41,23,27,8,0,26,2,129482.0
-5853922760334480549,sshd,6411,0,Accepted publickey for ci-cd from 10.0.0.50,23,29,35,0,26,2,129629.0
172823800,systemd,6447,0,Started System maintenance,23,36,2,0,26,2,130016.0
172823800,sudo,2829,0,ci-cd : TTY=pts/2 ; COMMAND=ls -la,23,51,20,0,26,2,130934.0
3439435287861071516,sudo,9375,0,backup : TTY=pts/1 ; COMMAND=cat /var/log/syslog,0,0,56,1,27,2,131510.0
3439435287861071516,systemd,6224,0,Started Daily backup,0,8,58,1,27,2,131992.0
-5853922760334480549,sshd,9660,1,Invalid user test from 61.177.172.1,0,10,38,1,27,2,132092.0
-5853922760334480549,sshd,9659,1,Invalid user guest from 61.177.172.1,0,10,42,1,27,2,132096.0
-5853922760334480549,sshd,9658,1,Invalid user admin from 61.177.172.1,0,10,48,1,27,2,132102.0
-5853922760334480549,sshd,9677,1,Failed password for root from 61.177.172.1 port 55196,0,10,50,1,27,2,132104.0
-5853922760334480549,sshd,9668,1,Failed password for admin from 61.177.172.1 port 48930,0,11,37,1,27,2,132151.0
-5853922760334480549,sshd,9678,1,Failed password for root from 61.177.172.1 port 51920,0,11,40,1,27,2,132154.0
-5853922760334480549,sshd,9672,1,Failed password for oracle from 61.177.172.1 port 58937,0,11,42,1,27,2,132156.0
-5853922760334480549,sshd,9669,1,Failed password for admin from 61.177.172.1 port 35528,0,11,46,1,27,2,132160.0
-5853922760334480549,sshd,9685,1,Failed password for admin from 61.177.172.1 port 43753,0,11,59,1,27,2,132173.0
-5853922760334480549,sshd,9662,1,Failed password for test from 61.177.172.1 port 59331,0,12,5,1,27,2,132179.0
-5853922760334480549,sshd,9665,1,Failed password for oracle from 61.177.172.1 port 43802,0,12,11,1,27,2,132185.0
-5853922760334480549,sshd,9683,1,Failed password for guest from 61.177.172.1 port 36258,0,12,13,1,27,2,132187.0
-5853922760334480549,sshd,9682,1,Failed password for guest from 61.177.172.1 port 48485,0,12,19,1,27,2,132193.0
-5853922760334480549,sshd,9661,1,Failed password for guest from 61.177.172.1 port 52500,0,12,35,1,27,2,132209.0
-5853922760334480549,sshd,9671,1,Failed password for test from 61.177.172.1 port 55094,0,12,57,1,27,2,132231.0
-5853922760334480549,sshd,9675,1,Failed password for user123 from 61.177.172.1 port 56135,0,13,1,1,27,2,132235.0
-5853922760334480549,sshd,9663,1,Failed password for root from 61.177.172.1 port 53305,0,13,19,1,27,2,132253.0
-5853922760334480549,sshd,9666,1,Failed password for root from 61.177.172.1 port 48378,0,13,46,1,27,2,132280.0
-5853922760334480549,sshd,9673,1,Failed password for root from 61.177.172.1 port 49722,0,14,10,1,27,2,132304.0
-5853922760334480549,sshd,9664,1,Failed password for guest from 61.177.172.1 port 30159,0,14,15,1,27,2,132309.0
-5853922760334480549,sshd,9674,1,Failed password for oracle from 61.177.172.1 port 45113,0,14,18,1,27,2,132312.0
-5853922760334480549,sshd,9681,1,Failed password for root from 61.177.172.1 port 34007,0,14,21,1,27,2,132315.0
-5853922760334480549,sshd,9680,1,Failed password for test from 61.177.172.1 port 40812,0,14,53,1,27,2,132347.0
-5853922760334480549,sshd,9667,1,Failed password for root from 61.177.172.1 port 50451,0,14,53,1,27,2,132347.0
-5853922760334480549,sshd,9670,1,Failed password for user123 from 61.177.172.1 port 30093,0,14,54,1,27,2,132348.0
-5853922760334480549,sshd,9679,1,Failed password for guest from 61.177.172.1 port 49823,0,14,55,1,27,2,132349.0
-5853922760334480549,sshd,9676,1,Failed password for root from 61.177.172.1 port 46321,0,14,57,1,27,2,132351.0
-5853922760334480549,sshd,9684,1,Failed password for oracle from 61.177.172.1 port 36810,0,15,8,1,27,2,132362.0
3439435287861071516,systemd,5898,0,Started Log rotation,0,23,28,1,27,2,132862.0
3439435287861071516,sudo,3793,0,deploy : TTY=pts/2 ; COMMAND=apt update,0,32,27,1,27,2,133401.0
3439435287861071516,cron,4484,0,Started Daily backup,0,33,7,1,27,2,133441.0
